collection,publication,year,issue_or_edition,filename,source_url,notes
Burlington Section GMC,RidgeLines,1985,RidgeLines June 1985,RidgeLines_June_1985.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-15-no-1.pdf,
Burlington Section GMC,RidgeLines,1985,RidgeLines September 1985,RidgeLines_September_1985.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-15-no-2.pdf,
Burlington Section GMC,RidgeLines,1986,RidgeLines January 1986,RidgeLines_January_1986.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-15-no-3.pdf,
Burlington Section GMC,RidgeLines,1986,RidgeLines March 1986,RidgeLines_March_1986.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-15-no-4.pdf,
Burlington Section GMC,RidgeLines,1986,RidgeLines June 1986,RidgeLines_June_1986.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-16-no-1.pdf,
Burlington Section GMC,RidgeLines,1986,RidgeLines September 1986,RidgeLines_September_1986.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-16-no-2.pdf,
Burlington Section GMC,RidgeLines,1987,RidgeLines January 1987,RidgeLines_January_1987.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-16-no-3.pdf,
Burlington Section GMC,RidgeLines,1987,RidgeLines March 1987,RidgeLines_March_1987.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-16-no-4.pdf,
Burlington Section GMC,RidgeLines,1987,RidgeLines June 1987,RidgeLines_June_1987.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-17-no-1.pdf,
Burlington Section GMC,RidgeLines,1987,RidgeLines September 1987,RidgeLines_September_1987.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-17-no-2.pdf,
Burlington Section GMC,RidgeLines,1988,RidgeLines January 1988,RidgeLines_January_1988.pdf,http://gmcburlington.org/wp-content/uploads/2023/06/ridgelines-v-17-no-3.pdf,
